index,phase,start_ts,end_ts,dur_us
433,LoadMusic(),964871326544,964871326563,19
434,LoadMusic(),964871336271,964871336284,13
435,LoadMusic(),964871346124,964871346135,11
436,LoadMusic(),964871356190,964871356212,22
437,LoadMusic(),964871366240,964871366251,11
438,LoadMusic(),964871376511,964871376520,9
439,LoadMusic(),964871386532,964871386543,11
440,LoadMusic(),964871396352,964871396366,14
441,LoadMusic(),964871406384,964871406396,12
442,LoadMusic(),964871416296,964871416306,10
443,LoadMusic(),964871426202,964871426213,11
444,LoadMusic(),964871436096,964871436102,6
445,SetMusic(),964871446051,964871446093,42
446,SetMusic(),964871456041,964871456064,23
447,SetMusic(),964871466153,964871466180,27
448,SetMusic(),964871476068,964871476102,34
449,SetMusic(),964871486101,964871486149,48
450,SetMusic(),964871496190,964871496248,58
451,SetMusic(),964871506208,964871506277,69
452,SetMusic(),964871516361,964871516445,84
453,SetMusic(),964871526412,964871526527,115
454,SetMusic(),964871536332,964871536425,93
455,SetMusic(),964871546320,964871546408,88
456,SetMusic(),964871556294,964871556383,89
457,SetMusic(),964871566313,964871566387,74
458,SetMusic(),964871576444,964871576558,114
459,SetMusic(),964871586557,964871586645,88
460,SetMusic(),964871596766,964871596880,114
461,SetMusic(),964871606368,964871606598,230
462,SetMusic(),964871616486,964871616601,115
463,SetMusic(),964871626599,964871626688,89
464,SetMusic(),964871636524,964871636640,116
465,SetMusic(),964871646453,964871646573,120
466,SetMusic(),964871656664,964871656767,103
467,SetMusic(),964871666075,964871666102,27
468,SetMusic(),964871676045,964871676066,21
469,SetMusic(),964871686095,964871686115,20
470,SetMusic(),964871696260,964871696291,31
471,SetMusic(),964871706330,964871706390,60
472,SetMusic(),964871716508,964871716585,77
473,SetMusic(),964871726614,964871726728,114
474,SetMusic(),964871736604,964871736719,115
475,SetMusic(),964871746534,964871746649,115
476,SetMusic(),964871756621,964871756715,94
477,SetMusic(),964871766065,964871766080,15
478,SetMusic(),964871776687,964871776807,120
479,SetMusic(),964871786660,964871786775,115
480,SetMusic(),964871796586,964871796702,116
481,SetMusic(),964871806544,964871806685,141
482,SetMusic(),964871816661,964871816764,103
483,SetMusic(),964871826810,964871826925,115
484,SetMusic(),964871836226,964871836280,54
485,SetMusic(),964871846223,964871846273,50
486,SetMusic(),964871856357,964871856431,74
487,SetMusic(),964871866720,964871866823,103
488,SetMusic(),964871876417,964871876503,86
489,SetMusic(),964871886397,964871886486,89
490,SetMusic(),964871896774,964871896876,102
491,SetMusic(),964871905980,964871905995,15
492,SetMusic(),964871916325,964871916440,115
493,SetMusic(),964871926523,964871926609,86
494,SetMusic(),964871936516,964871936643,127
495,SetMusic(),964871946522,964871946615,93
496,SetMusic(),964871956381,964871956465,84
497,SetMusic(),964871966447,964871966552,105
498,SetMusic(),964871976441,964871976541,100
499,SetMusic(),964871986535,964871986632,97
500,SetMusic(),964871996571,964871996687,116
501,SetMusic(),964872006449,964872006539,90
502,SetMusic(),964872016463,964872016552,89
503,SetMusic(),964872026690,964872026810,120
504,SetMusic(),964872036594,964872036696,102
505,SetMusic(),964872046625,964872046743,118
506,SetMusic(),964872056437,964872056538,101
507,SetMusic(),964872066619,964872066733,114
508,SetMusic(),964872076497,964872076612,115
509,SetMusic(),964872086740,964872086975,235
510,SetMusic(),964872096600,964872096716,116
511,SetMusic(),964872106555,964872106668,113
512,SetMusic(),964872116461,964872116537,76
513,SetMusic(),964872126543,964872126631,88
514,SetMusic(),964872136384,964872136499,115
515,SetMusic(),964872146642,964872146758,116
516,SetMusic(),964872156187,964872156234,47
517,SetMusic(),964872165995,964872166019,24
518,SetMusic(),964872176006,964872176022,16
519,SetMusic(),964872185951,964872185968,17
520,SetMusic(),964872196020,964872196035,15
521,SetMusic(),964872205932,964872205953,21
522,SetMusic(),964872216010,964872216025,15
523,SetMusic(),964872225992,964872226013,21
524,SetMusic(),964872236075,964872236103,28
525,SetMusic(),964872246132,964872246197,65
526,SetMusic(),964872256260,964872256320,60
527,SetMusic(),964872265980,964872265997,17
528,SetMusic(),964872276093,964872276113,20
529,SetMusic(),964872286255,964872286296,41
530,SetMusic(),964872296252,964872296329,77
531,SetMusic(),964872306711,964872306826,115
532,SetMusic(),964872316571,964872316674,103
533,SetMusic(),964872325934,964872325950,16
534,SetMusic(),964872336629,964872336695,66
535,SetMusic(),964872346399,964872346466,67
536,SetMusic(),964872356566,964872356669,103
537,SetMusic(),964872366617,964872366857,240
538,SetMusic(),964872376591,964872376729,138
539,SetMusic(),964872386725,964872386840,115
540,SetMusic(),964872396640,964872396741,101
541,SetMusic(),964872406510,964872406597,87
542,SetMusic(),964872416722,964872416835,113
543,SetMusic(),964872426645,964872426763,118
544,SetMusic(),964872436548,964872436656,108
545,SetMusic(),964872446685,964872446819,134
546,SetMusic(),964872456147,964872456166,19
547,SetMusic(),964872465955,964872465971,16
548,SetMusic(),964872475992,964872476007,15
549,SetMusic(),964872486010,964872486036,26
550,SetMusic(),964872496154,964872496200,46
551,SetMusic(),964872506467,964872506533,66
552,SetMusic(),964872516594,964872516710,116
553,SetMusic(),964872526398,964872526475,77
554,SetMusic(),964872536528,964872536643,115
555,SetMusic(),964872546678,964872546780,102
556,SetMusic(),964872556484,964872556598,114
557,SetMusic(),964872566807,964872566904,97
558,SetMusic(),964872576563,964872576671,108
559,SetMusic(),964872586679,964872586794,115
560,SetMusic(),964872596492,964872596606,114
561,SetMusic(),964872606523,964872606618,95
562,SetMusic(),964872616526,964872616622,96
563,SetMusic(),964872626516,964872626602,86
564,SetMusic(),964872636230,964872636287,57
565,SetMusic(),964872646107,964872646148,41
566,SetMusic(),964872655947,964872655961,14
567,SetMusic(),964872666094,964872666125,31
568,SetMusic(),964872675944,964872675959,15
569,SetMusic(),964872685960,964872685978,18
570,SetMusic(),964872695947,964872695960,13
571,SetMusic(),964872706054,964872706070,16
572,SetMusic(),964872715953,964872715968,15
573,SetMusic(),964872726033,964872726050,17
574,SetMusic(),964872736018,964872736037,19
575,SetMusic(),964872746072,964872746103,31
576,SetMusic(),964872756101,964872756139,38
577,SetMusic(),964872766367,964872766420,53
578,SetMusic(),964872776225,964872776291,66
579,SetMusic(),964872786235,964872786279,44
580,SetMusic(),964872796985,964872797214,229
581,SetMusic(),964872806410,964872806500,90
582,SetMusic(),964872816300,964872816376,76
583,SetMusic(),964872826484,964872826599,115
584,SetMusic(),964872836545,964872836646,101
585,SetMusic(),964872846478,964872846592,114
586,SetMusic(),964872856466,964872856580,114
587,SetMusic(),964872866561,964872866671,110
588,SetMusic(),964872876539,964872876941,402
589,SetMusic(),964872886368,964872886503,135
590,SetMusic(),964872896502,964872896597,95
591,SetMusic(),964872906971,964872907072,101
592,SetMusic(),964872916527,964872916616,89
593,SetMusic(),964872926396,964872926485,89
594,SetMusic(),964872936608,964872936731,123
595,SetMusic(),964872946537,964872946658,121
596,SetMusic(),964872956458,964872956558,100
597,SetMusic(),964872966462,964872966549,87
598,SetMusic(),964872976538,964872976622,84
599,SetMusic(),964872986426,964872986501,75
600,SetMusic(),964872996319,964872996398,79
601,SetMusic(),964873006304,964873006379,75
602,SetMusic(),964873016245,964873016315,70
603,SetMusic(),964873026438,964873026519,81
604,SetMusic(),964873036676,964873036791,115
605,SetMusic(),964873046607,964873046722,115
606,SetMusic(),964873056504,964873056619,115
607,SetMusic(),964873066659,964873066773,114
608,SetMusic(),964873076756,964873076917,161
609,SetMusic(),964873086659,964873086902,243
610,SetMusic(),964873096624,964873096739,115
611,SetMusic(),964873106635,964873106754,119
612,SetMusic(),964873116543,964873116637,94
613,SetMusic(),964873126581,964873126695,114
614,SetMusic(),964873136437,964873136526,89
615,SetMusic(),964873146620,964873146739,119
616,SetMusic(),964873156499,964873156605,106
617,SetMusic(),964873166143,964873166169,26
618,SetMusic(),964873176350,964873176426,76
619,SetMusic(),964873186611,964873186726,115
620,SetMusic(),964873196616,964873196729,113
621,SetMusic(),964873206592,964873206712,120
622,SetMusic(),964873217077,964873217192,115
623,SetMusic(),964873226515,964873226630,115
624,SetMusic(),964873236436,964873236550,114
625,SetMusic(),964873246381,964873246478,97
626,SetMusic(),964873256326,964873256403,77
627,SetMusic(),964873266881,964873266965,84
628,SetMusic(),964873276003,964873276034,31
629,SetMusic(),964873285974,964873285986,12
630,SetMusic(),964873296107,964873296137,30
631,SetMusic(),964873306121,964873306158,37
632,SetMusic(),964873316169,964873316285,116
633,SetMusic(),964873326744,964873326834,90
634,SetMusic(),964873336224,964873336282,58
635,SetMusic(),964873346258,964873346316,58
636,SetMusic(),964873356447,964873356534,87
637,SetMusic(),964873366447,964873366554,107
638,SetMusic(),964873376656,964873376766,110
